fiscalDateEnding,fiscalYear,fiscalQuarter,reportedDate,reportTime,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalRevenue,grossProfit,costOfRevenue,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,totalLiabilities,totalCurrentLiabilities,totalShareholderEquity,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,dividendPayout,freeCashFlow,priceDate_before,close_unadj_before,close_split_adj_before,close_full_adj_before,priceDate_release,close_unadj_release,close_split_adj_release,close_full_adj_release,priceDate_after,close_unadj_after,close_split_adj_after,close_full_adj_after,market_reaction_return_1d,market_reaction_type,return_close_before_to_after
2007-04-30,2007,Q1,2007-05-10,pre-market,0.007,0.006,0.001,16.6667,844280000.0,380138000.0,464142000.0,141246000.0,80600000.0,158321000.0,238892000.0,132259000.0,2800868000.0,2154233000.0,678951000.0,678951000.0,704974000.0,623867000.0,2095894000.0,23931960000.0,295198000.0,26336000.0,,268862000.0,2007-05-09,33.439979553222656,0.5573329925537109,0.5103595852851868,2007-05-10,32.81999945640564,0.546999990940094,0.5008975863456726,2007-05-11,35.14002084732056,0.5856670141220093,0.5363055467605591,0.05083858954245725,Unspecified (Next Day Close vs Prev Close),0.05083858954245725
2007-07-31,2007,Q2,2007-08-09,pre-market,0.009,0.007,0.002,28.5714,935253000.0,423992000.0,511261000.0,184760000.0,81300000.0,157952000.0,239232000.0,172732000.0,3036267000.0,2397405000.0,914745000.0,914745000.0,775989000.0,680798000.0,2260278000.0,24153180000.0,342402000.0,41367000.0,,301035000.0,2007-08-08,45.58997869491577,0.7598329782485962,0.6957923769950867,2007-08-09,46.12997889518738,0.7688329815864563,0.7040337920188904,2007-08-10,43.99001955986023,0.7331669926643372,0.6713740229606628,-0.03509431094930817,Unspecified (Next Day Close vs Prev Close),-0.03509431094930817
2007-10-31,2007,Q3,2007-11-08,pre-market,0.011,0.009,0.002,22.2222,1115597000.0,515553000.0,600044000.0,247841000.0,81280000.0,179529000.0,267712000.0,235661000.0,3475263000.0,2756054000.0,1056702000.0,1056702000.0,997337000.0,856442000.0,2477926000.0,24519400000.0,380125000.0,49703000.0,,330422000.0,2007-11-07,36.09999895095825,0.9024999737739563,0.8264349102973938,2007-11-08,33.84000062942505,0.8460000157356262,0.7746971249580383,2007-11-09,33.359999656677246,0.8339999914169312,0.7637086510658264,-0.07589981794088932,Unspecified (Next Day Close vs Prev Close),-0.07589981794088932
2008-01-31,2008,Q4,2008-02-13,pre-market,0.012,0.012,0.0,0.0,1202730000.0,549597000.0,653133000.0,262499000.0,91263000.0,195835000.0,287098000.0,256993000.0,3747671000.0,2888829000.0,726969000.0,726969000.0,1129759000.0,967161000.0,2617912000.0,22198640000.0,252471000.0,70339000.0,,182132000.0,2008-02-12,25.999999046325684,0.6499999761581421,0.5952165126800537,2008-02-13,27.019999027252197,0.6754999756813049,0.6185671091079712,2008-02-14,22.609999179840088,0.5652499794960022,0.5176093578338623,-0.13038474772272912,Unspecified (Next Day Close vs Prev Close),-0.13038474772272912
2008-04-30,2008,Q1,2008-05-08,pre-market,0.009,0.01,-0.001,-10.0,1153388000.0,514843000.0,638545000.0,202979000.0,91263000.0,218830000.0,311864000.0,176805000.0,3807458000.0,2748993000.0,803308000.0,803308000.0,1070280000.0,876552000.0,2737178000.0,23679560000.0,145245000.0,202173000.0,,-56928000.0,2008-05-07,22.009999752044678,0.5502499938011169,0.5038734674453735,2008-05-08,21.94999933242798,0.5487499833106995,0.5024999976158142,2008-05-09,22.53000020980835,0.5632500052452087,0.5157780647277832,0.02362616420897431,Unspecified (Next Day Close vs Prev Close),0.02362616420897431
2008-07-31,2008,Q2,2008-08-12,pre-market,0.003,0.003,0.0,0.0,892676000.0,149917000.0,742759000.0,-155392000.0,92400000.0,212910000.0,305309000.0,-120929000.0,3960049000.0,2814219000.0,719143000.0,719143000.0,1297134000.0,1135016000.0,2662915000.0,22216680000.0,80957000.0,53514000.0,,27443000.0,2008-08-11,11.230000257492065,0.28075000643730164,0.25708773732185364,2008-08-12,11.069999933242798,0.27674999833106995,0.2534247636795044,2008-08-13,12.259999513626099,0.30649998784065247,0.28066742420196533,0.09171844260541988,Unspecified (Next Day Close vs Prev Close),0.09171844260541988
2008-10-31,2008,Q3,2008-11-06,pre-market,0.005,0.003,0.002,66.6667,897655000.0,367843000.0,529812000.0,56796000.0,90300000.0,212360000.0,311047000.0,61748000.0,3648898000.0,2480099000.0,461253000.0,461253000.0,1161823000.0,1004465000.0,2487075000.0,22581440000.0,43003000.0,109008000.0,,-66005000.0,2008-11-05,8.510000109672546,0.21275000274181366,0.19481894373893738,2008-11-06,7.620000243186951,0.19050000607967377,0.17444418370723724,2008-11-07,8.71999979019165,0.21799999475479126,0.19962634146213531,0.024676233383340684,Unspecified (Next Day Close vs Prev Close),0.024676233383340684
2009-01-31,2009,Q4,2009-02-10,pre-market,-0.004,-0.002,-0.002,-100.0,481140000.0,141666000.0,339474000.0,-175083000.0,86400000.0,211779000.0,316749000.0,-147665000.0,3350727000.0,2167958000.0,417688000.0,417688000.0,956075000.0,778591000.0,2394652000.0,21752280000.0,-19845000.0,42975000.0,,-62820000.0,2009-02-09,9.739999771118164,0.2434999942779541,0.22297723591327667,2009-02-10,9.319999814033508,0.2329999953508377,0.2133621722459793,2009-02-11,8.149999976158142,0.20374999940395355,0.1865774542093277,-0.16324438481292355,Unspecified (Next Day Close vs Prev Close),-0.16324438481292355
2009-04-30,2009,Q1,2009-05-07,pre-market,-0.002,-0.003,0.001,33.3333,664231000.0,189696000.0,474535000.0,-230965000.0,80600000.0,301797000.0,420661000.0,-201338000.0,3178704000.0,2020684000.0,512274000.0,512274000.0,859828000.0,702172000.0,2318876000.0,21692280000.0,142128000.0,20777000.0,78297000.0,121351000.0,2009-05-06,11.56000018119812,0.289000004529953,0.26464247703552246,2009-05-07,10.729999542236328,0.2682499885559082,0.2456413060426712,2009-05-08,9.25000011920929,0.23125000298023224,0.21175968647003174,-0.19982729589699377,Unspecified (Next Day Close vs Prev Close),-0.19982729589699377
2009-07-31,2009,Q2,2009-08-06,pre-market,0.002,-0.001,0.003,300.0,776520000.0,156723000.0,619797000.0,-110107000.0,74000000.0,192855000.0,266830000.0,-105302000.0,3298409000.0,2167905000.0,523785000.0,523785000.0,1051000000.0,891321000.0,2247409000.0,21865560000.0,135117000.0,17656000.0,0.0,117461000.0,2009-08-05,13.40000033378601,0.33500000834465027,0.3067653477191925,2009-08-06,13.12000036239624,0.328000009059906,0.30035537481307983,2009-08-07,13.71000051498413,0.34275001287460327,0.3138621747493744,0.02313438295083509,Unspecified (Next Day Close vs Prev Close),0.02313438295083509
